"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P005303","8(N01)#","N01 N01 N01 N01 N01 N01 N01 N01",8
"P005304","5(N14) _ 3(N14)","N14 N14 N14 N14 N14 _ N14 N14 N14",9
"P008560","6(N14) _ 4(N14) _ 6(N14)","N14 N14 N14 N14 N14 N14 _ N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14",18
"P008673","2(N14) _ 5(N14) _ 9(N14)# _ 9(N14)","N14 N14 _ N14 N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14 N14 N14 N14",28
"P005067","3(N14) _ 3(N01)","N14 N14 N14 _ N01 N01 N01",7
"P009447","2(N14) _ 3(N01)","N14 N14 _ N01 N01 N01",6
"P009448","3(N14) _ 3(N01)","N14 N14 N14 _ N01 N01 N01",7
"P009449","4(N14) _ 4(N01)","N14 N14 N14 N14 _ N01 N01 N01 N01",9
"P009450","5(N14) _ 3(N01)","N14 N14 N14 N14 N14 _ N01 N01 N01",9
"P009451","4(N01) _ 1(N14) _ 4(N39~b) _ 1(N24)","N01 N01 N01 N01 _ N14 _ N39~b N39~b N39~b N39~b _ N24",13
"P009452","1(N14) _ 4(N01) _ 1(N14) _ 3(N01)","N14 _ N01 N01 N01 N01 _ N14 _ N01 N01 N01",12
"P009453","2(N14) _ 3(N01) _ 9(N14)","N14 N14 _ N01 N01 N01 _ N14 N14 N14 N14 N14 N14 N14 N14 N14",16
"P009455","M009# _ 4(N01)","M009 _ N01 N01 N01 N01",6
"P000899","1(N34)# _ 4(N14) _ 3(N01)#","N34 _ N14 N14 N14 N14 _ N01 N01 N01",10
"P000799","2(N01)#","N01 N01",2
"P000800","2(N01)# _ 1(N01)#","N01 N01 _ N01",4
"P000801","4(N01)#","N01 N01 N01 N01",4
"P000803","2(N01)# _ 3(N01)","N01 N01 _ N01 N01 N01",6
"P000905","1(N34)# _ 2(N14)# _ 2(N01)#","N34 _ N14 N14 _ N01 N01",7
"P000913","1(N14) _ 2(N01)#","N14 _ N01 N01",4
"P000918","1(N14) _ 2(N01)","N14 _ N01 N01",4
"P000940","2(N14)#","N14 N14",2
"P000941","1(N14)# _ 3(N01)#","N14 _ N01 N01 N01",5
"P000942","5(N01)# _ 2(N01)#","N01 N01 N01 N01 N01 _ N01 N01",8
"P000949","1(N14)# _ 2(N01)#","N14 _ N01 N01",4
